Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,City of Woodburn,"Woodburn, Gervais and Hubbard COVID-19 Rental Assi",Grant,450000,Broadband / Community Development
FY2021,Marion County,Santiam Canyon Wildfire Recovery Program,Grant,410000,Broadband / Community Development
FY2021,City of Florence,CTE Training-Environmental Services Aide Cert Prog,Grant,36000,Broadband / Community Development
FY2021,City of Sweet Home,Linn County / Sweet Home Emergency Childcare,Grant,50000,Broadband / Community Development
FY2021,City of Astoria,COVID PPE and Testing CDBG,Grant,50000,Broadband / Community Development
FY2021,City of Talent,Alemda Fire Recovery Capacity Project,Grant,453554,Broadband / Community Development
FY2021,City of Phoenix,Wildfire Recovery Project,Grant,281349,Broadband / Community Development
FY2021,Jackson County,Almeda Fire Recovery Capacity Project,Grant,218118,Broadband / Community Development
FY2021,City of Boardman,Boardman Community Broadband,Grant,687965,Broadband / Community Development
FY2021,City of Sherwood,Chapman Fiber Exension,Grant,346856,Broadband / Community Development
FY2021,Clatskanie School District,Broadband for Equitable Distance Education,Grant,22000,Broadband / Community Development
FY2021,Blue Mountain LLC,Wheeler/Gilliam/Morrow Counties,Grant,152685,Broadband / Community Development
FY2021,Central Cascades Fire & EMS,Central Cascade WISP Tower Project,Grant,123500,Broadband / Community Development
FY2021,Douglas County,Archie Creek Fire Recovery,Grant,222920,Broadband / Community Development
FY2021,"Arlington T-V Cooperative, Inc.",Rural Fixed Wireless,Grant,61633,Broadband / Community Development
FY2021,South Lane County School District 45J3,South Lane Rural Hotspots,Grant,66700,Broadband / Community Development
FY2021,Central Linn School District,Hot Spot Connectivity in Rural Linn County,Grant,8665,Broadband / Community Development
FY2021,Cascade School District 5,Cascade Broadband,Grant,48000,Broadband / Community Development
FY2021,David Douglas School District 40,Digital Equitable Access,Grant,32000,Broadband / Community Development
FY2021,Hood River County School District,Internet Access for Distance Learning,Grant,69140,Broadband / Community Development
FY2021,Morrow County School District,Internet For Students Project,Grant,119958,Broadband / Community Development
FY2021,Umatilla School District #6R,Online Learning for Umatilla Students,Grant,120879,Broadband / Community Development
FY2021,Canby School District 86,COVID-19 Mobile Cellular Hotspot Deployment,Grant,8979,Broadband / Community Development
FY2021,Forest Grove School District,Wireless Hotspots,Grant,40000,Broadband / Community Development
FY2021,Oregon Fiber Partnership dba Link Oregon,Link Oregon,Grant,8390000,Broadband / Community Development
FY2021,Lincoln County,Wildfire Recovery,Grant,153484,Broadband / Community Development
FY2021,Tillamook County,Connectivity Collaborative For Edu Excellence,Grant,349800,Broadband / Community Development
FY2021,Lane County,Holiday Farm Fire Recovery,Grant,234308,Broadband / Community Development
FY2021,Marion County,Santiam Canyon Wildfire Recovery Program,Grant,300800,Broadband / Community Development
FY2021,City of Shady Cove,Obenchain Fire Recovery,Grant,11000,Broadband / Community Development
FY2021,Confederated Tribes of Umatilla Indian Reservation,Last Mile Delivery System,Grant,750000,Broadband / Community Development
FY2021,Lincoln County,Wifi Access Points and Distance Learning Projects,Grant,28900,Broadband / Community Development
FY2021,Sherman County,Sherman County WISP Phase 2,Grant,160000,Broadband / Community Development
FY2021,Alyrica Networks Inc,Crawfordsville/Holley Broadband Project,Grant,167650,Broadband / Community Development
FY2021,Canby Telephone Association,Gervais Highway FTTH,Grant,175000,Broadband / Community Development
FY2021,"Casco Communications, Inc",East Linn County Community Broadband Action Plan,Grant,1222757,Broadband / Community Development
FY2021,"Emerald Broadband, LLC",Rural West Fiber Project,Grant,1529600,Broadband / Community Development
FY2021,"Frontier Communications NW, LLC",Ziply Fiber Detroit/Idanha Project,Grant,627300,Broadband / Community Development
FY2021,"Douglas Services, Inc",COVID Small Business Resourses,Grant,1049467,Broadband / Community Development
FY2021,"Illinois Valley Data Center, LLC",Hanby Fiber Project,Grant,113670,Broadband / Community Development
FY2021,"Eastern Oregon Net, Inc",EONI FTTP,Grant,83330,Broadband / Community Development
FY2021,"Hawk Network, Inc",Warner Valley Community Network,Grant,13856,Broadband / Community Development
FY2021,"Grase Communications, LLC -MiWave",Harney County School Telecom Support,Grant,434397,Broadband / Community Development
FY2021,"The Greater Eastern Oregon Network, LLC",GEO Infrastructure Upgrade,Grant,217400,Broadband / Community Development
FY2021,"Lane Fi, LLC",Connecting Rural Eugene,Grant,145354,Broadband / Community Development
FY2021,Monroe Telephone Company,Old River Road / Irish Bend Road FTTH,Grant,199610,Broadband / Community Development
FY2021,Pioneer Telephone Cooperative,PHLM Fern Road Fiber to the Home,Grant,361082,Broadband / Community Development
FY2021,"Sureline Broadband, LLC",Broadband Deployment Camp Sherman,Grant,122040,Broadband / Community Development
FY2021,Warm Springs Telecommunications Company,COVID-19 Broadband Equipment Upgrade,Grant,492290,Broadband / Community Development
FY2021,City of Independence,Independence and Monmouth Connectivity,Grant,262924,Broadband / Community Development
FY2021,Umatilla Electric Cooperative Association,COVID Small Business Response,Grant,31250,Business Assistance
FY2021,Lincoln County,Lincoln County Small Business Support,Grant,150000,Business Assistance
FY2021,City of Dallas,Dallas SBE,Grant,150000,Business Assistance
FY2021,City of Madras,Madras-Jefferson County SBE,Grant,150000,Business Assistance
FY2021,Benton County,Benton County SBE,Grant,150000,Business Assistance
FY2021,City of Rogue River,Rural Southern Oregon (Rogue River et al),Grant,150000,Business Assistance
FY2021,Coos County,Emergency Small Business & Microenterprise Assist.,Grant,150000,Business Assistance
FY2021,City of Talent,"SBMA Southern Oregon - Talent, Phoenix, Jackson CO",Grant,150000,Business Assistance
FY2021,City of La Grande,La Grande and Union County SBE,Grant,150000,Business Assistance
FY2021,City of Sweet Home,Linn County SBE,Grant,150000,Business Assistance
FY2021,Baker County,Baker County SBE,Grant,150000,Business Assistance
FY2021,Wallowa County,Wallowa County ESBMEAGP,Grant,150000,Business Assistance
FY2021,City of Roseburg,Emergency Small Business & Microenterprise Assist,Grant,150000,Business Assistance
FY2021,Micro Enterprise Services of Oregon,COVID Small Business Response,Grant,260500,Business Assistance
FY2021,Oregon Native American Chamber,COVID Small Business Response,Grant,520800,Business Assistance
FY2021,"Microenterprise Resources, Initiatives & Training",COVID Small Business Response,Grant,125000,Business Assistance
FY2021,Greater Applegate Community Development Corp,COVID Small Business Response,Grant,35000,Business Assistance
FY2021,Ashland Chamber of Commerce,COVID Small Business Response,Grant,104100,Business Assistance
FY2021,Centro Latino Americano,COVID Small Business Response,Grant,86700,Business Assistance
FY2021,Professional Business Development Group,COVID Small Business Response,Grant,295150,Business Assistance
FY2021,Oregon Chapter of the National Association of Minority Contractors,COVID Small Business Response,Grant,208300,Business Assistance
FY2021,Native American Youth and Family,COVID Small Business Response,Grant,180000,Business Assistance
FY2021,Centro Cultural Del Condado De Washington,COVID Small Business Response,Grant,173700,Business Assistance
FY2021,City of Tualatin,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,195000,Business Assistance
FY2021,City of Medford,Emergency Business Assistance Grant Fund,Forgivable Loan,70000,Business Assistance
FY2021,City of Happy Valley,Emergency Business Assistance Grant Fund,Forgivable Loan,115000,Business Assistance
FY2021,City of Sweet Home,Emergency Business Assistance Grant Fund,Forgivable Loan,25000,Business Assistance
FY2021,Lane County,Emergency Business Assistance Grant Fund,Forgivable Loan,400000,Business Assistance
FY2021,Jackson County,Emergency Business Assistance Grant Fund,Forgivable Loan,72500,Business Assistance
FY2021,Mid-Willamette Valley Council of Governments,Emergency Business Assistance Grant Fund,Forgivable Loan,350000,Business Assistance
FY2021,City of La Grande,Emergency Business Assistance Grant Fund,Forgivable Loan,65000,Business Assistance
FY2021,City of Shady Cove,Emergency Business Assistance Grant Fund,Forgivable Loan,5000,Business Assistance
FY2021,City of Gresham,Emergency Business Assistance Grant Fund,Forgivable Loan,100000,Business Assistance
FY2021,High Desert Partnership,COVID Small Business Response,Grant,520800,Business Assistance
FY2021,City of Beaverton,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,365000,Business Assistance
FY2021,City of Ontario,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,135000,Business Assistance
FY2021,Harney County,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,25000,Business Assistance
FY2021,City of Pendleton,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,25000,Business Assistance
FY2021,City of La Grande,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,35000,Business Assistance
FY2021,City of Tigard,Round 3 Emergecny Business Assistance Grant Fund,Forgivable Loan,194500,Business Assistance
FY2021,Latino Built Association for Contractors,COVID Small Business Response,Grant,156250,Business Assistance
FY2021,City of Grants Pass,Emergency Business Assistance Grant Fund,Forgivable Loan,80000,Business Assistance
FY2021,City of Albany,Emergency Business Assistance Grant Fund,Forgivable Loan,45000,Business Assistance
FY2021,Columbia-Pacific Economic Development District,Round 3 Emergency Business Assistance Grant fund,Forgivable Loan,195000,Business Assistance
FY2021,City of Central Point,Emergency Business Assistance Grant Fund,Forgivable Loan,50000,Business Assistance
FY2021,City of Woodburn,Emergency Business Assistance Grant Fund,Forgivable Loan,60000,Business Assistance
FY2021,Hispanic Metropolitan Chamber,COVID Small Business Response,Grant,453351,Business Assistance
FY2021,City of Heppner,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,25000,Business Assistance
FY2021,Point West Credit Union,Emergency Business Assistance Grant Fund,Forgivable Loan,2035222,Business Assistance
FY2021,Benton County,Emergency Business Assistance Grant Fund,Forgivable Loan,85000,Business Assistance
FY2021,CCD Business Development Corporation,Emergency Business Assistance Grant Fund,Forgivable Loan,1795819,Business Assistance
FY2021,Community LendingWorks,Emergency Business Assistance Grant Fund,Forgivable Loan,2226437,Business Assistance
FY2021,Mid-Columbia Economic Development District,Emergency Business Assistance Grant Fund,Forgivable Loan,859929,Business Assistance
FY2021,Columbia-Pacific Economic Development District,Round 4 Emergency Business Assistance Gant Fund,Forgivable Loan,2245964,Business Assistance
FY2021,Central Oregon Intergovernmental Council,Emergency Business Assistance Grant Fund,Forgivable Loan,1579463,Business Assistance
FY2021,Affiliated Tribes of Northwest Indians EDC,Emergency Business Assistance Grant Fund,Forgivable Loan,579328,Business Assistance
FY2021,City of Gladstone,Emergency Business Assistance Grant Fund,Forgivable Loan,35000,Business Assistance
FY2021,Clackamas County,Emergency Business Assistance Grant Fund,Forgivable Loan,45000,Business Assistance
FY2021,Hacienda Community Development Corporation,COVID Small Business Response,Grant,223300,Business Assistance
FY2021,"The Urban League of Portland, Inc.",COVID Small Business Response,Grant,208400,Business Assistance
FY2021,Regional Accelerator & Innovation Network Inc.,COVID Small Business Response,Grant,173700,Business Assistance
FY2021,City of Keizer,Emergency Business Assistance Grant Fund,Forgivable Loan,45000,Business Assistance
FY2021,Northeast Oregon Economic Development District,Emergency Business Relief Round 3,Forgivable Loan,50000,Business Assistance
FY2021,City of Salem,Emergency Business Assistance Grant Fund,Forgivable Loan,238000,Business Assistance
FY2021,Tillamook County,Round 3 Emergency Business Assistant Grant Fund,Forgivable Loan,200000,Business Assistance
FY2021,City of Sherwood,Emergency Business Assistance Grant Fund,Forgivable Loan,35000,Business Assistance
FY2021,Morrow County,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,150000,Business Assistance
FY2021,City of The Dalles,Emergency Business Assistance Grant Fund,Forgivable Loan,200000,Business Assistance
FY2021,City of Boardman,Emergency Business Relief Fund,Forgivable Loan,25000,Business Assistance
FY2021,South Central Oregon Economic Development District,Emergency Business Assistance Grant Fund,Forgivable Loan,1384454,Business Assistance
FY2021,Mid-Willamette Valley Council of Governments,Emergency Business Assistance Grant Fund,Forgivable Loan,1832969,Business Assistance
FY2021,CCD Business Development Corporation,Emergency Business Assistance Grant Fund - Jackson,Forgivable Loan,935723,Business Assistance
FY2021,Central Willamette Credit Union,Emergency Business Assistance Grant Fund,Forgivable Loan,2389446,Business Assistance
FY2021,Northeast Oregon Economic Development District,Round 4 Emergency Business Assistance Grant Fund,Forgivable Loan,537863,Business Assistance
FY2021,Greater Eastern Oregon Development Corporation,Round 4 Emergency Business Assistance Grant Fund,Forgivable Loan,1413913,Business Assistance
FY2021,City of Tualatin,Emergency Business Assistance Grant Fund,Forgivable Loan,83000,Business Assistance
FY2021,City of Fairview,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,25000,Business Assistance
FY2021,City of McMinnville,Emergency Business Assistance Grant Fund,Forgivable Loan,100000,Business Assistance
FY2021,City of Gresham,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,150000,Business Assistance
FY2021,Homestead Enterprises LLC,Western Juniper,Grant,50000,Business Assistance
FY2021,Micro Enterprise Services of Oregon,Emergency Business Assistance Grand Fund,Forgivable Loan,1650023,Business Assistance
FY2021,City of Umatilla,Emergency Business Assitance Grant Fund,Forgivable Loan,50000,Business Assistance
FY2021,City of Oregon City,Emergency Business Assistance Grant Fund,Forgivable Loan,35000,Business Assistance
FY2021,Lane County,Emergency Business Assistance Grant Fund,Forgivable Loan,100000,Business Assistance
FY2021,Northeast Oregon Economic Development District,Emergency Business Assitance Grant Fund,Forgivable Loan,150000,Business Assistance
FY2021,Northeast Oregon Economic Development District,Emergency Business Assistance Grant Fund,Forgivable Loan,30000,Business Assistance
FY2021,City of Silverton,Emergency Business Assistance Grant Fund,Insured Loan,15000,Business Assistance
FY2021,City of Medford,Emergency Business Assistance Grant Fund,Forgivable Loan,70000,Business Assistance
FY2021,The Immigrant and Refugee Community Organization,COVID Small Business Response,Grant,233300,Business Assistance
FY2021,"Rural Development Initiatives, Inc.",COVID Small Business Response,Grant,333300,Business Assistance
FY2021,PACCO - Philippine American Chamber of Commerce of,COVID Small Business Response,Grant,477400,Business Assistance
FY2021,Economic Development for Central Oregon,COVID Small Business Response,Grant,69750,Business Assistance
FY2021,Asian Pacific American Chamber of Commerce of Oregon and SW Washington,COVID Small Business Response,Grant,50000,Business Assistance
FY2021,City of Hillsboro,Round 3 Emergency Business Assistance Grant Fund,Forgivable Loan,238000,Business Assistance
FY2021,City of Hillsboro,Emergency Business Assistance Grant Fund,Forgivable Loan,112000,Business Assistance
FY2021,City of Beaverton,Emergency Business Assistance Grant Fund,Forgivable Loan,135000,Business Assistance
FY2021,Lincoln County,Emergency Business Assistance Grant Fund,Forgivable Loan,180000,Business Assistance
FY2021,Jackson County,Emergency Business Assistance Grant Fund,Forgivable Loan,125000,Business Assistance
FY2021,City of Oregon City,Emergency Business Assistance Grant Fund,Forgivable Loan,35000,Business Assistance
FY2021,City of Lake Oswego,Emergency Business Assistance Grant Fund,Forgivable Loan,103000,Business Assistance
FY2021,City of West Linn,Emergency Business Assistance Grant Fund,Forgivable Loan,10000,Business Assistance
FY2021,City of Albany,Emergency Business Assistance Grant Fund,Forgivable Loan,120000,Business Assistance
